qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B1-1	0.00180697441101	0.00275802612305	0.0453531742096	0.0482301712036	1	50
B1-2	0.00186109542847	0.00279307365417	0.0349419116974	0.0362949371338	1	23
B1-3	0.00185394287109	0.00279307365417	0.0393569469452	0.0433619022369	1	64
B1-4	0.00191116333008	0.00288200378418	0.0362620353699	0.0373861789703	1	19
B1-5	0.00195503234863	0.00292301177979	0.0394628047943	0.0424928665161	1	45
B1-6	0.00185799598694	0.0028760433197	0.0350830554962	0.0369188785553	1	31
B1-7	0.00186800956726	0.00281310081482	0.0355129241943	0.0379300117493	1	33
B1-8	0.00189900398254	0.00285696983337	0.0329129695892	0.0333299636841	1	6
B1-9	0.0018618106842	0.00280594825745	0.0334849357605	0.0340538024902	1	10
B1-10	0.00189089775085	0.00282883644104	0.0339920520782	0.0348508358002	1	15
B1-11	0.00186800956726	0.00280094146729	0.0354208946228	0.0375580787659	1	36
B1-12	0.00187611579895	0.00281405448914	0.0429589748383	0.0469861030579	1	63
B1-13	0.00187206268311	0.00281310081482	0.0349249839783	0.0364100933075	1	26
B1-14	0.00184512138367	0.00280594825745	0.0375990867615	0.0414521694183	1	57
B1-15	0.00186491012573	0.00280904769897	0.0377049446106	0.0406050682068	1	52
B1-16	0.00186204910278	0.00279211997986	0.038281917572	0.0422329902649	1	65
B1-17	0.00188517570496	0.00283408164978	0.0393450260162	0.0433900356293	1	56
B1-18	0.00178408622742	0.00271606445312	0.0428268909454	0.0454730987549	1	42
B1-19	0.00181698799133	0.00276303291321	0.0376150608063	0.0392680168152	1	24
B1-20	0.00183200836182	0.00280594825745	0.0382010936737	0.0415079593658	1	57
B2-1	0.00217294692993	0.00300002098083	0.0510039329529	0.0658750534058	1	223
B2-2	0.00221109390259	0.00301599502563	0.0497260093689	0.0590400695801	1	139
B2-3	0.00211691856384	0.00291299819946	0.0522880554199	0.0614640712738	1	191
