qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B1-1	0.00170612335205	0.00265002250671	0.0416860580444	0.0447361469269	1	50
B1-2	0.00185799598694	0.00286197662354	0.0375890731812	0.0387260913849	1	23
B1-3	0.00171709060669	0.00265097618103	0.0495240688324	0.0538680553436	1	64
B1-4	0.00174498558044	0.00271511077881	0.0351891517639	0.0362370014191	1	19
B1-5	0.0016930103302	0.00262212753296	0.0406491756439	0.0433340072632	1	45
B1-6	0.00169706344604	0.0026490688324	0.0369210243225	0.0388638973236	1	31
B1-7	0.0017101764679	0.00267815589905	0.0389621257782	0.041139125824	1	33
B1-8	0.00170207023621	0.00263094902039	0.033527135849	0.0338900089264	1	6
B1-9	0.00168991088867	0.00264191627502	0.0343089103699	0.0348238945007	1	10
B1-10	0.00181913375854	0.00281715393066	0.0339732170105	0.0350170135498	1	15
B1-11	0.00193095207214	0.0029559135437	0.0380489826202	0.0402760505676	1	36
B1-12	0.00171899795532	0.0026490688324	0.0427000522614	0.0467381477356	1	63
B1-13	0.00173187255859	0.0026638507843	0.0379548072815	0.0396699905396	1	26
B1-14	0.0017249584198	0.00265312194824	0.0422399044037	0.0457921028137	1	57
B1-15	0.00167202949524	0.0026171207428	0.0418062210083	0.0449631214142	1	52
B1-16	0.0017261505127	0.00268411636353	0.0403831005096	0.0441071987152	1	65
B1-17	0.0016770362854	0.00259304046631	0.0404620170593	0.0437409877777	1	56
B1-18	0.00195097923279	0.00327205657959	0.0395500659943	0.0417559146881	1	42
B1-19	0.00163102149963	0.00257706642151	0.0354290008545	0.0368511676788	1	24
B1-20	0.00162887573242	0.00253486633301	0.0399358272552	0.0440897941589	1	57
B2-1	0.00197696685791	0.00283002853394	0.0459358692169	0.0606729984283	1	223
B2-2	0.00208401679993	0.00290894508362	0.045422077179	0.0545330047607	1	139
B2-3	0.0019690990448	0.00276303291321	0.0464401245117	0.0578379631042	1	191
B2-4	0.00209808349609	0.00289106369019	0.0441770553589	0.055135011673	1	165
B2-5	0.00201892852783	0.00279188156128	0.0470819473267	0.0608079433441	1	223
B2-6	0.00203895568848	0.00280117988586	0.0504410266876	0.0675239562988	1	253
B2-7	0.00202989578247	0.00282001495361	0.0403978824615	0.0515549182892	1	186
B2-8	0.00202393531799	0.00279498100281	0.0421149730682	0.0496768951416	1	111
B2-9	0.00202679634094	0.00279498100281	0.0443799495697	0.0602247714996	1	223
B2-10	0.00208687782288	0.00286197662354	0.0415329933167	0.0522718429565	1	159
B2-11	0.00200009346008	0.002769947052	0.0564270019531	0.0773589611053	1	349
B2-12	0.00202894210815	0.00280499458313	0.040431022644	0.0479419231415	1	127
B2-13	0.00199913978577	0.00277018547058	0.0561370849609	0.0738940238953	1	267
B2-14	0.00203800201416	0.00283408164978	0.0477869510651	0.0598618984222	1	203
B2-15	0.00203108787537	0.00280618667603	0.0354120731354	0.038693189621	1	49
B2-16	0.00207591056824	0.00286102294922	0.0380780696869	0.0435750484467	1	82
B2-17	0.0020809173584	0.00290894508362	0.0588979721069	0.0812628269196	1	437
B2-18	0.00202178955078	0.00280094146729	0.0554049015045	0.0747628211975	1	306
B2-19	0.00201082229614	0.00278282165527	0.0365488529205	0.0431439876556	1	89
B2-20	0.00209188461304	0.00288891792297	0.0345740318298	0.0399188995361	1	86
B3-1	0.0033118724823	0.00521993637085	0.0509448051453	0.0521318912506	1	11
B3-2	0.0033061504364	0.00518298149109	0.0470180511475	0.0491030216217	1	5
B3-3	0.00331783294678	0.00525283813477	0.0512669086456	0.0533838272095	1	20
B3-4	0.00334405899048	0.00530195236206	0.0489559173584	0.0489959716797	1	1
B3-5	0.00335788726807	0.00523495674133	0.0467419624329	0.0471389293671	1	3
B3-6	0.00342488288879	0.00536489486694	0.0464389324188	0.0475199222565	1	10
B3-7	0.00329303741455	0.00516605377197	0.0549700260162	0.0564551353455	1	14
B3-8	0.00332093238831	0.00525784492493	0.0497279167175	0.0509610176086	1	12
B3-9	0.00328016281128	0.00516200065613	0.0482771396637	0.0491561889648	1	8
B3-10	0.00330805778503	0.00518298149109	0.0536239147186	0.0552821159363	1	17
B3-11	0.00331687927246	0.00530385971069	0.0476379394531	0.0485470294952	1	8
B3-12	0.00333905220032	0.0052649974823	0.063817024231	0.065957069397	1	20
B3-13	0.00334596633911	0.00524306297302	0.0489370822906	0.0498929023743	1	7
B3-14	0.00336694717407	0.00526690483093	0.0490629673004	0.0499968528748	1	8
B3-15	0.00329685211182	0.00517678260803	0.04998087883	0.0504128932953	1	4
B3-16	0.00328683853149	0.00522589683533	0.0486578941345	0.0496928691864	1	11
B3-17	0.00336885452271	0.0052649974823	0.0492758750916	0.0500059127808	1	8
B3-18	0.00335001945496	0.00521802902222	0.0494029521942	0.0512619018555	1	19
B3-19	0.00328397750854	0.00518679618835	0.0509078502655	0.0510079860687	1	2
B3-20	0.00328707695007	0.00517010688782	0.046205997467	0.0464251041412	1	3
B4-1	0.00626111030579	0.0162332057953	0.132019996643	0.132724046707	1	12
B4-2	0.00667810440063	0.0168740749359	0.148317098618	0.151272058487	1	30
B4-3	0.00616908073425	0.0161139965057	0.13001704216	0.135202169418	1	48
B4-4	0.00626492500305	0.0161747932434	0.65456199646	0.660435914993	1	54
B4-5	0.00618290901184	0.0160839557648	0.15508389473	0.175073862076	1	102
B4-6	0.00617218017578	0.0160360336304	0.148350000381	0.171612024307	1	120
B4-7	0.00613784790039	0.0160388946533	0.128798961639	0.133975028992	1	48
B4-8	0.00619196891785	0.0160911083221	0.143258094788	0.145909070969	1	24
B4-9	0.00619006156921	0.0161261558533	0.135329961777	0.137120962143	1	18
B4-10	0.0062518119812	0.0161798000336	0.12260389328	0.123587846756	1	12
B4-11	0.0062050819397	0.0160889625549	0.131535053253	0.133459091187	1	18
B4-12	0.00630116462708	0.0161919593811	0.126607179642	0.129867076874	1	30
B4-13	0.00619912147522	0.0160460472107	0.12634396553	0.128323078156	1	18
B4-14	0.00613284111023	0.0160479545593	0.155565977097	0.191368818283	1	324
B4-15	0.00619506835938	0.0160360336304	0.123775005341	0.124900102615	1	12
B4-16	0.00611686706543	0.0159509181976	0.148409843445	0.165516853333	1	90
B4-17	0.00614595413208	0.0160551071167	0.123286008835	0.125149011612	1	18
B4-18	0.00633716583252	0.0162689685822	0.132321119308	0.135421991348	1	30
B4-19	0.00620007514954	0.016126871109	0.133322000504	0.139147043228	1	54
B4-20	0.0063419342041	0.0163428783417	0.158825874329	0.180572032928	1	120
B5-1	0.00253987312317	0.00415205955505	10.39894104	13.4502019882	1	13065
B5-2	0.00249695777893	0.00416612625122	4.60059213638	6.3457660675	1	8237
B5-3	0.00263595581055	0.00432896614075	9.89048600197	12.3661849499	1	11046
B5-4	0.00256299972534	0.00421690940857	2.04931688309	2.76027607918	1	5107
B5-5	0.00256299972534	0.00417304039001	3.10538697243	3.92940497398	1	5195
B5-6	0.00270318984985	0.00441217422485	4.78850507736	6.16604304314	1	9458
B5-7	0.00256419181824	0.00427508354187	5.31047916412	6.76561307907	1	8651
B5-8	0.00252294540405	0.0041561126709	10.3622310162	13.0862140656	1	12952
B5-9	0.00255417823792	0.00421714782715	0.533372163773	0.728819131851	1	1099
B5-10	0.00248503684998	0.0041708946228	2.94434404373	4.01657485962	1	6592
B5-11	0.00255393981934	0.0042040348053	3.13405895233	4.03475999832	1	6499
B5-12	0.00254201889038	0.00416398048401	8.88363695145	11.5353429317	1	11674
B5-13	0.00317883491516	0.00523996353149	1.48386001587	2.01469492912	1	3826
B5-14	0.00253915786743	0.00415110588074	0.888688087463	1.16938900948	1	1988
B5-15	0.00250601768494	0.00415587425232	5.60937190056	7.25741791725	1	9665
B5-16	0.00250720977783	0.00413107872009	4.4659922123	5.88502907753	1	7609
B5-17	0.00256490707397	0.0042200088501	0.937909126282	1.25586605072	1	2629
B5-18	0.00252199172974	0.00420999526978	2.80958986282	3.73166799545	1	5574
B5-19	0.00254702568054	0.00415992736816	2.08426403999	2.85659694672	1	5201
B5-20	0.00255107879639	0.0041561126709	2.77282214165	3.76497101784	1	7186
B6-1	0.00359106063843	0.00623917579651	0.103594064713	0.120140075684	1	18
B6-2	0.00350880622864	0.00606894493103	0.0890038013458	0.0890529155731	1	1
B6-3	0.00371694564819	0.00621008872986	21.9161989689	21.9166829586	1	5
B6-4	0.00350284576416	0.00610494613647	0.0983920097351	0.0988929271698	1	5
B6-5	0.00349903106689	0.00609683990479	0.103451013565	0.118357896805	1	15
B6-6	0.00354194641113	0.00611782073975	0.0987279415131	0.099408864975	1	8
B6-7	0.00349378585815	0.00606989860535	0.0936419963837	0.093710899353	1	1
B6-8	0.00344300270081	0.00605583190918	0.0965969562531	0.110597848892	1	11
B6-9	0.00350213050842	0.00606822967529	0.102811098099	0.115941047668	1	11
B6-10	0.00348711013794	0.00604605674744	0.0999932289124	0.113113164902	1	12
B6-11	0.00375318527222	0.00643801689148	0.0974299907684	0.0978870391846	1	4
B6-12	0.00354909896851	0.00627017021179	0.105322122574	0.136257171631	1	19
B6-13	0.0037829875946	0.00649380683899	0.102415800095	0.118896007538	1	12
B6-14	0.00354695320129	0.0061628818512	0.102932929993	0.103616952896	1	7
B6-15	0.00341415405273	0.00595712661743	0.09645819664	0.109078168869	1	11
B6-16	0.00347995758057	0.00609397888184	0.0955810546875	0.0962920188904	1	8
B6-17	0.00347399711609	0.00608491897583	0.0909299850464	0.0912828445435	1	4
B6-18	0.00349402427673	0.00608587265015	0.0978469848633	0.0983119010925	1	6
B6-19	0.00369000434875	0.00635504722595	0.102932929993	0.103695869446	1	7
B6-20	0.00352597236633	0.00613498687744	0.0888221263885	0.08913397789	1	3
B6-1	0.00359106063843	0.00623917579651	0.103594064713	0.120140075684	1	18
B6-2	0.00350880622864	0.00606894493103	0.0890038013458	0.0890529155731	1	1
B6-3	0.00371694564819	0.00621008872986	21.9161989689	21.9166829586	1	5
B6-4	0.00350284576416	0.00610494613647	0.0983920097351	0.0988929271698	1	5
B6-5	0.00349903106689	0.00609683990479	0.103451013565	0.118357896805	1	15
B6-6	0.00354194641113	0.00611782073975	0.0987279415131	0.099408864975	1	8
B6-7	0.00349378585815	0.00606989860535	0.0936419963837	0.093710899353	1	1
B6-8	0.00344300270081	0.00605583190918	0.0965969562531	0.110597848892	1	11
B6-9	0.00350213050842	0.00606822967529	0.102811098099	0.115941047668	1	11
B6-10	0.00348711013794	0.00604605674744	0.0999932289124	0.113113164902	1	12
B6-11	0.00375318527222	0.00643801689148	0.0974299907684	0.0978870391846	1	4
B6-12	0.00354909896851	0.00627017021179	0.105322122574	0.136257171631	1	19
B6-13	0.0037829875946	0.00649380683899	0.102415800095	0.118896007538	1	12
B6-14	0.00354695320129	0.0061628818512	0.102932929993	0.103616952896	1	7
B6-15	0.00341415405273	0.00595712661743	0.09645819664	0.109078168869	1	11
B6-16	0.00347995758057	0.00609397888184	0.0955810546875	0.0962920188904	1	8
B6-17	0.00347399711609	0.00608491897583	0.0909299850464	0.0912828445435	1	4
B6-18	0.00349402427673	0.00608587265015	0.0978469848633	0.0983119010925	1	6
B6-19	0.00369000434875	0.00635504722595	0.102932929993	0.103695869446	1	7
B6-20	0.00352597236633	0.00613498687744	0.0888221263885	0.08913397789	1	3
B7-1	0.00263810157776	0.00425696372986	0.0686318874359	0.0812849998474	1	14
B7-2	0.00270009040833	0.0043408870697	0.0606420040131	0.0917530059814	1	25
